score,story,tail_score,name,tail,tail_why,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,gap_h,kn,km_calc,km_gfw,dkm,exact1dp,fish_start,src,vid,flag_calc,flag_gfw
0.0041,0.0187,0.22,SUGANYU04408,U04408,"wide glyph, wrong index, digits in tail",412365827,CHN,FISHING,SHEYANG,5,2,39,8.89,6.24,102.8,94.6,8.2,no,2023-09-03T17:43:57,longline-slice,3b8233b79-91d0-d6b8-ab27-7d82ec2eed2a,TFCCTF{412365827_sheyang_03.09.2023_05:43_PM_102.8},TFCCTF{412365827_sheyang_03.09.2023_05:43_PM_94.6}
0.004,0.0101,0.4,SERENA 2,RENA 2,"wide glyph at index 1-2, digits in tail",576825000,VUT,FISHING,LONDON,6,5,1,6.7,12.44,154.4,159.3,4.9,no,2023-09-29T07:28:04,longline-slice,bbe884fb7-7185-d9ea-403f-807746a85f59,TFCCTF{576825000_london_29.09.2023_07:28_AM_154.4},TFCCTF{576825000_london_29.09.2023_07:28_AM_159.3}
0.004,0.0182,0.22,SHIN SHENG CHINQ 126,NQ 126,"wide glyph, wrong index, digits in tail",416000834,TWN,DRIFTING_LONGLINES,LIUQIU,10,2,50,11.4,6.29,132.8,138.0,5.2,no,2023-09-06T13:06:47,agent8-fill,fa1a4be51-1a6d-72c4-3d5b-771a975f9f65,TFCCTF{416000834_liuqiu_06.09.2023_01:06_PM_132.8},TFCCTF{416000834_liuqiu_06.09.2023_01:06_PM_138.0}
0.004,0.0073,0.55,NAEROYBUEN,OYBUEN,"wide glyph, wrong index",258014530,NOR,FISHING,FOSNAVAG,18,4,19,4.63,6.38,54.8,50.8,4.0,no,2023-09-02T09:01:25,longline-slice,b1e39f7a8-8204-2a02-e10a-57f4e2b1a65d,TFCCTF{258014530_fosnavag_02.09.2023_09:01_AM_54.8},TFCCTF{258014530_fosnavag_02.09.2023_09:01_AM_50.8}
0.0039,0.007,0.55,LISBETH FRICH, FRICH,"wide glyph, wrong index",219015103,DNK,TRAWLERS,THYBORON,23,4,56,5.03,6.4,59.6,62.8,3.2,no,2023-09-03T13:08:49,trawler-slice,9bea41dc3-31c7-b575-43ea-05bab094b47b,TFCCTF{219015103_thyboron_03.09.2023_01:08_PM_59.6},TFCCTF{219015103_thyboron_03.09.2023_01:08_PM_62.8}
0.0038,0.0192,0.2,JUAN ALVAREZ,LVAREZ,no wide glyph,701006059,ARG,TRAWLERS,PUERTO MADRYN,15,2,148,9.22,8.48,144.9,141.7,3.2,no,2023-09-01T10:35:57,trawler-slice,45817e754-46d9-142a-6ea8-c773a002b2e8,TFCCTF{701006059_puerto madryn_01.09.2023_10:35_AM_144.9},TFCCTF{701006059_puerto madryn_01.09.2023_10:35_AM_141.7}
0.0038,0.0095,0.4,FU KUAN YU NO1,YU NO1,"wide glyph at index 1-2, digits in tail",577544000,VUT,DRIFTING_LONGLINES,APIA,5,3,80,21.45,6.48,257.4,246.0,11.4,no,2023-09-23T21:47:46,longline-slice,7c4ec7106-61a4-3ab4-d9f0-5d2de015c031,TFCCTF{577544000_apia_23.09.2023_09:47_PM_257.4},TFCCTF{577544000_apia_23.09.2023_09:47_PM_246.0}
0.0038,0.0172,0.22,YUEHUILAIYU43044,U43044,"wide glyph, wrong index, digits in tail",412466982,CHN,TRAWLERS,SHENQUAN,6,3,52,4.19,7.63,59.3,54.5,4.8,no,2023-09-05T18:29:43,trawler-slice,eda916f94-43ab-4a60-4efb-6a0fb6dd2451,TFCCTF{412466982_shenquan_05.09.2023_06:29_PM_59.3},TFCCTF{412466982_shenquan_05.09.2023_06:29_PM_54.5}
0.0037,0.0037,1.0,MARIANE DOUS,E DOUS,wide glyph at index 1-2,224233000,ESP,DRIFTING_LONGLINES,VIGO,2,1,49,55.7,6.79,700.7,641.5,59.2,no,2023-09-16T21:27:28,longline-slice,1d19de397-76c8-d3ac-457d-e2b180330269,TFCCTF{224233000_vigo_16.09.2023_09:27_PM_700.7},TFCCTF{224233000_vigo_16.09.2023_09:27_PM_641.5}
0.0036,0.0164,0.22,ZHELINGYUYUN31059,N31059,"wide glyph, wrong index, digits in tail",412419599,CHN,NA,TAIZHOU,6,1,19,11.3,12.53,262.3,242.9,19.4,no,2023-09-06T04:50:25,agent8-fill,c8b410b68-85f7-4461-76fa-c17ad217f0ac,TFCCTF{412419599_taizhou_06.09.2023_04:50_AM_262.3},TFCCTF{412419599_taizhou_06.09.2023_04:50_AM_242.9}
0.0035,0.0158,0.22,YUEHUILAIYU43358,U43358,"wide glyph, wrong index, digits in tail",412466397,CHN,TRAWLERS,SHENQUAN,7,3,43,4.21,9.44,73.6,68.8,4.8,no,2023-09-06T04:49:42,trawler-slice,55b79e9cc-c843-eb5b-087e-edf887133ffc,TFCCTF{412466397_shenquan_06.09.2023_04:49_AM_73.6},TFCCTF{412466397_shenquan_06.09.2023_04:49_AM_68.8}
0.0034,0.0156,0.22,ZHEPUYU19226,U19226,"wide glyph, wrong index, digits in tail",412422281,CHN,TRAWLERS,NINGBO,10,3,84,4.28,6.95,55.1,51.5,3.6,no,2023-09-03T18:30:54,trawler-slice,c3b90c304-4fdb-5618-522f-1b843f8bb5b6,TFCCTF{412422281_ningbo_03.09.2023_06:30_PM_55.1},TFCCTF{412422281_ningbo_03.09.2023_06:30_PM_51.5}
0.0033,0.0167,0.2,SHILLA HARVESTER,VESTER,no wide glyph,441807000,KOR,FISHING,LONDON,8,5,5,7.84,8.04,116.6,115.0,1.6,no,2023-09-06T12:48:04,longline-slice,44a773354-4f0b-a701-756a-b1ac61b1293d,TFCCTF{441807000_london_06.09.2023_12:48_PM_116.6},TFCCTF{441807000_london_06.09.2023_12:48_PM_115.0}
0.0033,0.0151,0.22,YUEJIANGCHENGYU95159,U95159,"wide glyph, wrong index, digits in tail",412477929,CHN,FISHING,YANGJIANG,4,2,9,8.16,8.88,134.2,122.3,11.9,no,2023-09-05T11:21:00,longline-slice,a3f0f16d6-6125-40a7-d487-d72351c34b63,TFCCTF{412477929_yangjiang_05.09.2023_11:21_AM_134.2},TFCCTF{412477929_yangjiang_05.09.2023_11:21_AM_122.3}
0.0033,0.015,0.22,FU YANG 266,NG 266,"wide glyph, wrong index, digits in tail",416001592,TWN,FISHING,KEELUNG,4,2,11,11.78,6.55,142.8,130.8,12.0,no,2023-09-06T11:56:41,longline-slice,3d4f1479e-e023-d839-47df-364e9e841cd3,TFCCTF{416001592_keelung_06.09.2023_11:56_AM_142.8},TFCCTF{416001592_keelung_06.09.2023_11:56_AM_130.8}
0.0032,0.0058,0.55,RI457 KIRSTEN FJORD, FJORD,"wide glyph, wrong index",219793000,DNK,TRAWLERS,HVIDE SANDE,24,4,30,7.02,8.67,112.7,108.7,4.0,no,2023-09-04T05:56:19,trawler-slice,a669c93c0-0a7f-0946-7ac9-9960ad3c4b73,TFCCTF{219793000_hvide sande_04.09.2023_05:56_AM_112.7},TFCCTF{219793000_hvide sande_04.09.2023_05:56_AM_108.7}
0.0032,0.0147,0.22,YUEYANGDONGYU14128,U14128,"wide glyph, wrong index, digits in tail",412462945,CHN,FISHING,ZHUHAI,5,4,49,6.38,7.33,86.6,82.1,4.5,no,2023-09-04T22:30:46,longline-slice,ccdbd8811-1a7c-b24e-f32a-1c30d6474f44,TFCCTF{412462945_zhuhai_04.09.2023_10:30_PM_86.6},TFCCTF{412462945_zhuhai_04.09.2023_10:30_PM_82.1}
0.0032,0.0131,0.248,HEYKUR,HEYKUR,"wide glyph, wrong index, too short to be cut",231030000,FRO,TRAWLERS,TOFTIR,16,2,64,7.32,7.27,98.5,93.2,5.3,no,2023-09-04T04:46:46,trawler-slice,677a1d194-463d-7c79-c8f5-8593b88b39af,TFCCTF{231030000_toftir_04.09.2023_04:46_AM_98.5},TFCCTF{231030000_toftir_04.09.2023_04:46_AM_93.2}
0.0031,0.0031,1.0,NAOKIMARU,KIMARU,wide glyph at index 1-2,431602156,JPN,SET_LONGLINES,CHOSHI,5,1,66,65.5,8.04,975.7,933.1,42.6,no,2023-09-16T22:20:08,longline-slice,98df93721-1842-220d-bf47-d05c6f935544,TFCCTF{431602156_choshi_16.09.2023_10:20_PM_975.7},TFCCTF{431602156_choshi_16.09.2023_10:20_PM_933.1}
0.003,0.0135,0.22,LURONGYU71189,U71189,"wide glyph, wrong index, digits in tail",412329700,CHN,FISHING,SHIDAO,11,3,20,4.9,10.35,94.0,89.9,4.1,no,2023-09-07T23:22:24,longline-slice,b07065957-715d-6743-62f5-01d700b3da3f,TFCCTF{412329700_shidao_07.09.2023_11:22_PM_94.0},TFCCTF{412329700_shidao_07.09.2023_11:22_PM_89.9}
0.003,0.0137,0.22,YUEYANGDONGYU14001,U14001,"wide glyph, wrong index, digits in tail",412463432,CHN,FISHING,ZHUHAI,4,3,64,6.38,7.44,88.0,79.8,8.2,no,2023-09-04T22:21:33,longline-slice,d78b90c4f-f380-2b56-591e-1cbdcb2f7199,TFCCTF{412463432_zhuhai_04.09.2023_10:21_PM_88.0},TFCCTF{412463432_zhuhai_04.09.2023_10:21_PM_79.8}
0.0029,0.0029,1.0,TRONDUR I GOETU, GOETU,wide glyph at index 1-2,231036000,FRO,TRAWLERS,FUGLAFJORDUR,30,4,35,17.13,8.53,270.6,262.4,8.2,no,2023-09-03T18:03:14,trawler-slice,88d8a1194-44e0-9406-0095-756b9c0269b0,TFCCTF{231036000_fuglafjordur_03.09.2023_06:03_PM_270.6},TFCCTF{231036000_fuglafjordur_03.09.2023_06:03_PM_262.4}
0.0029,0.0073,0.4,TAI XIANG 10,ANG 10,"wide glyph at index 1-2, digits in tail",412326864,CHN,DRIFTING_LONGLINES,PORT LOUIS,1,1,63,56.81,7.88,829.6,796.7,32.9,no,2023-09-06T14:03:18,longline-slice,c399a9ac7-7d2e-c5ef-a95b-d49b1e4a0cbc,TFCCTF{412326864_port louis_06.09.2023_02:03_PM_829.6},TFCCTF{412326864_port louis_06.09.2023_02:03_PM_796.7}
0.0029,0.0133,0.22,QIONGDANYU11238,U11238,"wide glyph, wrong index, digits in tail",412311238,CHN,SET_GILLNETS,GUANGZHOU,11,2,10,11.08,6.8,139.6,132.3,7.3,no,2023-09-05T14:33:07,agent8-fill,9714f871b-b767-9b47-7ade-bd70a56fdda5,TFCCTF{412311238_guangzhou_05.09.2023_02:33_PM_139.6},TFCCTF{412311238_guangzhou_05.09.2023_02:33_PM_132.3}
0.0029,0.0131,0.22,IMULA 0737 NBO,37 NBO,"wide glyph, wrong index, digits in tail",417073731,LKA,SET_LONGLINES,NEGOMBO,2,2,7,17.73,7.82,256.6,238.5,18.1,no,2023-09-17T19:20:08,longline-slice,32dc7855f-f6b0-8586-9b54-234cbe5640cb,TFCCTF{417073731_negombo_17.09.2023_07:20_PM_256.6},TFCCTF{417073731_negombo_17.09.2023_07:20_PM_238.5}
0.0028,0.0028,1.0,SUNWARD,UNWARD,wide glyph at index 1-2,367440310,USA,SET_LONGLINES,ST PAUL,23,14,57,25.97,7.67,368.8,370.2,1.4,no,2023-09-09T18:13:18,longline-slice,d92f1a60c-c480-0058-80b8-b1133969a647,TFCCTF{367440310_st paul_09.09.2023_06:13_PM_368.8},TFCCTF{367440310_st paul_09.09.2023_06:13_PM_370.2}
0.0028,0.0142,0.2,ARBUMASA XV,ASA XV,no wide glyph,701000708,ARG,TRAWLERS,PUERTO DESEADO,16,1,149,13.64,9.67,244.4,233.0,11.4,no,2023-09-08T19:44:26,trawler-slice,03d12278a-a35b-ce50-918b-673e1bca4940,TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_244.4},TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_233.0}
