score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
0.36987,KARPINSKIY,INSKIY,8845729,273847610,RUS,TRAWLERS,petropavlovsk,785.4,58.1,7.8,54.1,86870b3e5-50bf-231b-820d-91e494a2723c,TFCCTF{273847610_petropavlovsk_02.09.2023_01:01_PM_58.1},TFCCTF{273847610_petropavlovsk_02.09.2023_01:01_PM_785.4}
0.3675,F/V TARZH AN DEIZ,N DEIZ,8541880,227916000,FRA,SET_GILLNETS,ile de batz,73.8,60.2,6.9,5.8,4acfdca5b-b2df-461d-599a-62e4dbcf9d54,TFCCTF{227916000_ile de batz_05.09.2023_02:11_PM_60.2},TFCCTF{227916000_ile de batz_05.09.2023_02:11_PM_73.8}
0.3675,INTREPID,TREPID,9585508,338129000,USA,SET_LONGLINES,homer,175.6,123.8,6.2,15.4,b38ac5464-4fc2-4431-f5a8-df8c6195dfef,TFCCTF{338129000_homer_21.09.2023_05:21_PM_123.8},TFCCTF{338129000_homer_21.09.2023_05:21_PM_175.6}
0.3675,F/V CORTO MALTESE II,ESE II,8228983,228840000,FRA,SET_GILLNETS,les sables d' olonne,145.1,73.5,6.9,11.3,c459c71e1-1cb1-246f-3cda-3a66cb19219c,TFCCTF{228840000_les sables d' olonne_04.09.2023_07:44_PM_73.5},TFCCTF{228840000_les sables d' olonne_04.09.2023_07:44_PM_145.1}
0.36563,EMIBRUPA,IBRUPA,8573481,263410840,PRT,DRIFTING_LONGLINES,peniche,152.2,142.6,6.5,12.6,9c93da6e6-667c-8a2f-7bcb-e57e6de1c465,TFCCTF{263410840_peniche_01.09.2023_10:45_PM_142.6},TFCCTF{263410840_peniche_01.09.2023_10:45_PM_152.2}
0.36563,FU KUAN YU NO1,YU NO1,8994350,577544000,VUT,DRIFTING_LONGLINES,apia,257.4,246.0,6.5,21.4,7c4ec7106-61a4-3ab4-d9f0-5d2de015c031,TFCCTF{577544000_apia_23.09.2023_09:47_PM_246.0},TFCCTF{577544000_apia_23.09.2023_09:47_PM_257.4}
0.36563,MARIA CLARA, CLARA,8596055,710019030,BRA,DRIFTING_LONGLINES,natal,167.0,151.9,6.5,13.9,93b26fca7-7742-42dd-758c-11c562a91f04,TFCCTF{710019030_natal_22.09.2023_12:59_PM_151.9},TFCCTF{710019030_natal_22.09.2023_12:59_PM_167.0}
0.36453,LADY OF THE SEA II,SEA II,8437924,367705430,USA,SET_LONGLINES,honolulu,322.2,305.9,6.6,26.5,1d30c7932-2cb1-0f87-02d5-a9b09128d381,TFCCTF{367705430_honolulu_03.09.2023_09:18_PM_305.9},TFCCTF{367705430_honolulu_03.09.2023_09:18_PM_322.2}
0.35875,OS CASTRO,CASTRO,8691726,224095620,ESP,SET_LONGLINES,cedeira,68.8,67.2,6.1,6.1,c30c428cb-b7dc-680c-5df8-e9f920e1d133,TFCCTF{224095620_cedeira_01.09.2023_04:50_AM_67.2},TFCCTF{224095620_cedeira_01.09.2023_04:50_AM_68.8}
0.35875,MUNCRECA,NCRECA,8706301,617070000,CPV,SET_LONGLINES,mindelo,127.9,61.6,6.1,11.4,9bab6008a-af00-3248-0a00-8182dd97c55f,TFCCTF{617070000_mindelo_04.09.2023_01:12_PM_61.6},TFCCTF{617070000_mindelo_04.09.2023_01:12_PM_127.9}
0.3575,REDER MOR,ER MOR,8589507,660000400,REU,DRIFTING_LONGLINES,reunion,202.3,157.9,6.4,17.1,c76e3f046-6ef2-d3cb-57c2-a5504775989f,TFCCTF{660000400_reunion_03.09.2023_12:34_PM_157.9},TFCCTF{660000400_reunion_03.09.2023_12:34_PM_202.3}
0.35722,EL DUQUE, DUQUE,9766102,345220001,MEX,TUNA_PURSE_SEINES,puerto madero,226.5,195.2,9.1,13.5,a02113476-6ae3-24a6-888d-22cbaa8ebf52,TFCCTF{345220001_puerto madero_03.09.2023_03:39_PM_195.2},TFCCTF{345220001_puerto madero_03.09.2023_03:39_PM_226.5}
