final,score,story,name,tail,imo,mmsi,flag,geartype,dep_port,n_pv,prior_30d,n_fish,n_fish_sep,gap_h,kn,km_calc,km_gfw,fish_start,vid,flag_calc,flag_gfw2
0.03684,1.0,0.0368,ROSSYOKI,SSYOKI,8708373,273313560,RUS,TRAWLERS,RETINSKOE,12,1,43,26,15.73,10.01,291.4,236.4,2023-09-13T04:56:01,273a09c94-4be9-9978-6ffd-74f9b14638b3,TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_291.4},TFCCTF{273313560_retinskoe_13.09.2023_04:56_AM_236.4}
0.03432,1.035,0.0332,HUGINN,HUGINN,9211690,251139000,ISL,TRAWLERS,VESTMANNAEYJAR,14,1,53,26,23.49,10.84,471.7,90.7,2023-09-09T21:41:52,fd14c0490-0d11-e513-f0d5-138e3a8dc942,TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_471.7},TFCCTF{251139000_vestmannaeyjar_09.09.2023_09:41_PM_90.7}
0.033,0.9625,0.0343,SUENO REAL,O REAL,9004891,701007001,ARG,TRAWLERS,MAR DEL PLATA,19,0,88,72,5.14,10.33,98.4,90.8,2023-09-09T20:53:25,5d6e5ee82-2b76-0954-bc44-dd4ad14bc611,TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_98.4},TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_90.8}
0.03105,0.96341,0.0322,DESAFIO,ESAFIO,9013385,701006020,ARG,TRAWLERS,MAR DEL PLATA,17,1,33,22,24.64,9.9,451.7,295.5,2023-09-23T19:42:17,2f25ce93e-ea6f-cfb9-e414-b77ae43c838c,TFCCTF{701006020_mar del plata_23.09.2023_07:42_PM_451.7},TFCCTF{701006020_mar del plata_23.09.2023_07:42_PM_295.5}
0.02697,0.96312,0.028,SANTA LUNA M.,UNA M.,8466901,247103820,ITA,TRAWLERS,PORTO EMPEDOCLE,9,3,22,8,4.29,11.26,89.4,69.3,2023-09-09T03:50:57,4b5b610f5-55a1-de41-c66c-d4dc7bfa05b6,TFCCTF{247103820_porto empedocle_09.09.2023_03:50_AM_89.4},TFCCTF{247103820_porto empedocle_09.09.2023_03:50_AM_69.3}
0.02429,1.13562,0.0214,ZAMBEZI,AMBEZI,7325722,659245000,NAM,TRAWLERS,WALVIS BAY,13,2,28,19,6.41,10.09,119.9,125.0,2023-09-01T03:30:00,3bde07f86-662d-bc20-5b41-076d567e0fee,TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_119.9},TFCCTF{659245000_walvis bay_01.09.2023_03:30_AM_125.0}
0.02408,1.02062,0.0236,PRAIA DE RODEIRA,ODEIRA,9265330,224546000,ESP,TRAWLERS,CANSADO,6,1,77,77,11.75,9.14,199.0,123.7,2023-09-05T08:41:51,ae36a2e64-4845-ad9d-4a2c-fddfd563d92a,TFCCTF{224546000_cansado_05.09.2023_08:41_AM_199.0},TFCCTF{224546000_cansado_05.09.2023_08:41_AM_123.7}
0.02339,0.9875,0.0237,PRAIA DA MAROSA,MAROSA,8731813,663250000,SEN,TRAWLERS,DAKAR,8,1,113,64,11.13,9.89,203.9,115.1,2023-09-03T06:18:10,f5d810a8d-d406-64e0-fc57-8f2edbc0894c,TFCCTF{663250000_dakar_03.09.2023_06:18_AM_203.9},TFCCTF{663250000_dakar_03.09.2023_06:18_AM_115.1}
0.0216,0.9875,0.0219,EMERALD,MERALD,9913614,231872000,FRO,TRAWLERS,LEIRVIK,12,2,26,20,6.43,10.09,120.1,110.6,2023-09-12T19:21:01,fe1a40438-8ba7-897b-b0e3-de6dac70455c,TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_120.1},TFCCTF{231872000_leirvik_12.09.2023_07:21_PM_110.6}
0.01934,0.9625,0.0201,OCEAN LEADER,LEADER,7613624,367478000,USA,TRAWLERS,ST PAUL,13,3,58,10,13.96,9.71,251.1,170.0,2023-09-01T14:54:08,94bdf3de6-6393-d38e-9d10-2c8686d9e407,TFCCTF{367478000_st paul_01.09.2023_02:54_PM_251.1},TFCCTF{367478000_st paul_01.09.2023_02:54_PM_170.0}
0.01544,1.0,0.0154,POLARHAV,LARHAV,9295804,231326000,FRO,TRAWLERS,KLAKSVIK,18,2,49,22,4.69,9.95,86.4,71.8,2023-09-02T02:46:47,8238d1b27-7d8f-6f67-7b8e-f27573930dee,TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_86.4},TFCCTF{231326000_klaksvik_02.09.2023_02:46_AM_71.8}
0.01321,0.975,0.0135,FISHER BANK,R BANK,7232688,659275000,NAM,TRAWLERS,WALVIS BAY,14,3,55,19,7.0,9.77,126.6,125.1,2023-09-01T04:27:43,e04691b47-73aa-3d8a-5261-b838d8bbba9a,TFCCTF{659275000_walvis bay_01.09.2023_04:27_AM_126.6},TFCCTF{659275000_walvis bay_01.09.2023_04:27_AM_125.1}
0.01294,0.9625,0.0134,NORTHERN DEFENDER,FENDER,7934250,366901360,USA,TRAWLERS,DUTCH HARBOR,19,5,17,3,6.56,9.71,117.8,74.6,2023-09-01T16:39:16,4ab33cc92-24de-bfc6-acb3-3ede61feb09e,TFCCTF{366901360_dutch harbor_01.09.2023_04:39_PM_117.8},TFCCTF{366901360_dutch harbor_01.09.2023_04:39_PM_74.6}
0.01244,0.9625,0.0129,OCEANIC,CEANIC,7910022,367038990,USA,TRAWLERS,ST PAUL,9,5,60,14,11.97,10.32,228.9,157.2,2023-09-01T13:20:06,91d520cb0-0500-ab1d-0311-a4157040593c,TFCCTF{367038990_st paul_01.09.2023_01:20_PM_228.9},TFCCTF{367038990_st paul_01.09.2023_01:20_PM_157.2}
0.01188,0.975,0.0122,SOPHIE Z39,IE Z39,9899624,205248000,BEL,TRAWLERS,CORK,16,2,37,35,10.77,9.76,194.7,58.8,2023-09-20T19:26:20,a516b5d6a-a62d-d519-92cf-e0cf16252ae1,TFCCTF{205248000_cork_20.09.2023_07:26_PM_194.7},TFCCTF{205248000_cork_20.09.2023_07:26_PM_58.8}
0.01092,0.9625,0.0113,ARBUMASA XV,ASA XV,8916413,701000708,ARG,TRAWLERS,PUERTO DESEADO,16,1,149,89,13.64,9.67,244.4,233.0,2023-09-08T19:44:26,03d12278a-a35b-ce50-918b-673e1bca4940,TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_244.4},TFCCTF{701000708_puerto deseado_08.09.2023_07:44_PM_233.0}
0.01058,1.0925,0.0097,BAQUEIRO,QUEIRO,8733342,224324000,ESP,TRAWLERS,CASTLETOWN BEARHAVEN,11,3,63,39,9.32,9.55,164.8,176.8,2023-09-04T09:19:06,554cb8562-23c2-510a-0686-fd68d007a5c5,TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_164.8},TFCCTF{224324000_castletown bearhaven_04.09.2023_09:19_AM_176.8}
0.01036,1.04937,0.0099,F/V JEAN TABOUREL,BOUREL,9871933,228364900,FRA,TRAWLERS,PORT-EN-BESSIN,17,3,42,25,8.8,10.66,173.7,54.9,2023-09-02T05:29:01,014b58794-4e2a-e45a-0823-9613fcef7650,TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_173.7},TFCCTF{228364900_port-en-bessin_02.09.2023_05:29_AM_54.9}
0.00919,1.10687,0.0083,F/V MAR MARES, MARES,9282651,228437700,FRA,TRAWLERS,DINGLE,17,4,32,21,11.24,10.3,214.4,73.8,2023-09-02T02:34:11,f133c20ce-e088-5e39-08be-661aad4559c9,TFCCTF{228437700_dingle_02.09.2023_02:34_AM_214.4},TFCCTF{228437700_dingle_02.09.2023_02:34_AM_73.8}
0.00871,1.06375,0.0082,KAPITAN BOGOMOLOV,OMOLOV,8607402,273528800,RUS,TRAWLERS,DAKHLA,11,1,254,169,7.41,10.57,144.9,149.8,2023-09-01T11:35:55,57871468a-a994-35af-afb7-b9a23d9ed3aa,TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_144.9},TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_149.8}
0.00799,1.07812,0.0074,UK246 CONCORDIA,CORDIA,9055034,246068000,NLD,TRAWLERS,HARLINGEN,21,2,68,51,7.31,10.52,142.4,57.5,2023-09-04T07:18:39,6687ad206-6057-26b6-cabd-a72e1649576c,TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_142.4},TFCCTF{246068000_harlingen_04.09.2023_07:18_AM_57.5}
0.00776,0.975,0.008,GUIDING LIGHT H90,HT H90,9840025,232013783,GBR,TRAWLERS,PETERHEAD,27,6,7,4,12.15,10.15,228.5,79.6,2023-09-15T05:29:54,75b45a2a3-3df8-98a0-2536-0c3d731b2ff8,TFCCTF{232013783_peterhead_15.09.2023_05:29_AM_228.5},TFCCTF{232013783_peterhead_15.09.2023_05:29_AM_79.6}
0.00709,0.9875,0.0072,MDV1 IMMANUEL,MANUEL,9771573,244860048,NLD,TRAWLERS,BORKUM,20,3,54,33,14.13,9.87,258.2,63.0,2023-09-04T15:31:07,12c5ed095-5963-0c04-4c97-0308e2227c6d,TFCCTF{244860048_borkum_04.09.2023_03:31_PM_258.2},TFCCTF{244860048_borkum_04.09.2023_03:31_PM_63.0}
0.00688,1.0925,0.0063,ARGENOVA X,NOVA X,8702692,701000950,ARG,TRAWLERS,PUERTO DESEADO,14,2,136,88,10.93,9.57,193.8,181.6,2023-09-02T14:43:24,a665db779-9536-53d1-836d-0d1df7630434,TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_193.8},TFCCTF{701000950_puerto deseado_02.09.2023_02:43_PM_181.6}
