score,name,mmsi,flag,geartype,dep_port,n_pv,n_fish,n_fish_sep,single_prior,prior_30d,gap_h,kn,km_calc,km_gfw,agree,exact1dp,namelen,fish_start,rank,vid,flag_calc,err
0.5455,CALVERT,316041841,CAN,TRAWLERS,ST JOHN'S,5,106,65,yes,0,9.38,12.39,215.2,207.5,0.0362,no,7,2023-09-07T01:15:15,0.4465,01ae3291b-b1fa-2e4b-f162-a84d87d5276e,TFCCTF{316041841_st john's_07.09.2023_01:15_AM_215.2},
0.5455,TAZIA 5,242051100,MAR,TRAWLERS,TANGIER,5,127,68,yes,0,4.25,9.39,73.8,78.6,0.0603,no,6,2023-09-01T04:46:10,0.3879,3ea51d566-60f2-94e3-4f83-63a3b7926f24,TFCCTF{242051100_tangier_01.09.2023_04:46_AM_73.8},
0.4394,ANABELLA M,701031000,ARG,TRAWLERS,PUERTO MADRYN,5,112,80,yes,0,29.79,6.55,361.2,331.7,0.0817,no,9,2023-09-01T11:11:45,0.0869,00d2d88d9-9c44-183e-9b47-ee82181a9aa7,TFCCTF{701031000_puerto madryn_01.09.2023_11:11_AM_361.2},
0.4209,KAPITAN BULATOV,273293480,RUS,TRAWLERS,BELLSUND ANCHORAGE,7,103,51,yes,0,26.32,7.98,389.0,360.3,0.0739,no,14,2023-09-05T18:42:53,0.2021,52d7c4082-20c3-e27f-b384-105441c80c74,TFCCTF{273293480_bellsund anchorage_05.09.2023_06:42_PM_389.0},
0.3585,DRYSDALE,512002241,NZL,TRAWLERS,BLUFF,5,13,12,yes,0,36.52,7.53,509.6,494.5,0.0296,no,8,2023-09-08T14:51:54,0.4815,25afafb42-2727-ace5-89f1-d037188dd77d,TFCCTF{512002241_bluff_08.09.2023_02:51_PM_509.6},
0.3529,EMPESUR 5,701006204,ARG,TRAWLERS,PUERTO DESEADO,11,79,49,yes,0,15.34,8.45,240.0,248.6,0.0345,no,8,2023-09-09T16:26:44,0.5635,c0b4d0901-1d14-1545-5558-8941331dd960,TFCCTF{701006204_puerto deseado_09.09.2023_04:26_PM_240.0},
0.2625,ZHEPUYU21105,412422638,CHN,TRAWLERS,NINGBO,2,47,12,no,1,4.02,7.29,54.3,53.7,0.0112,no,12,2023-09-03T12:46:01,0.5604,5faa96a0d-d430-7184-6cb7-79ccbe331f3e,TFCCTF{412422638_ningbo_03.09.2023_12:46_PM_54.3},
0.25,DUX,630123009,GNB,TRAWLERS,BISSAU,6,71,32,yes,0,8.94,10.29,170.3,170.9,0.0036,no,3,2023-09-02T11:10:31,0.9587,ddede9953-3f41-0464-60f7-dd305ee6621a,TFCCTF{630123009_bissau_02.09.2023_11:10_AM_170.3},
0.24,SUENO REAL,701007001,ARG,TRAWLERS,MAR DEL PLATA,19,88,72,yes,0,5.14,10.33,98.4,90.8,0.0771,no,9,2023-09-09T20:53:25,0.2276,5d6e5ee82-2b76-0954-bc44-dd4ad14bc611,TFCCTF{701007001_mar del plata_09.09.2023_08:53_PM_98.4},
0.2308,51788,416956739,TWN,TRAWLERS,SHIDAO,7,55,55,yes,0,6.21,7.22,83.0,78.8,0.0507,no,5,2023-09-01T14:01:31,0.3042,f118a3d09-9a2f-fad9-99fd-2785df33e65f,TFCCTF{416956739_shidao_01.09.2023_02:01_PM_83.0},
