score,geartype,name,mmsi,flag,port,km,gfw_nearest_km,kn,gap_h,depart_utc,fish_utc,n_port,n_fish,vessel_id,flag_guess
0.594,TRAWLERS,ZHEDONGYU03379,412430755,CHN,wenzhou,276.7,196.7,11.7,12.8,2023-09-16T09:56:24.000Z,2023-09-16T22:42:43.000Z,,,6e55a1802-2b0a-2d74-e50e-3e85cde423fc,TFCCTF{412430755_wenzhou_16.09.2023_10:42_PM_276.7}
0.594,NA,123,78922888,,yangjiang,156.6,125.6,11.4,7.4,2023-09-05T15:01:48.000Z,2023-09-05T22:26:23.000Z,,,a5292edc6-6e5b-4ebb-53f2-e3f5f1afc5d9,TFCCTF{78922888_yangjiang_05.09.2023_10:26_PM_156.6}
0.593,TRAWLERS,F.V. COOK CANYON,512000842,NZL,greymouth,242.2,238.7,7.1,18.3,2023-09-01T02:33:14.000Z,2023-09-01T20:51:07.000Z,,,1cf65b2bc-c109-65d9-8e27-3f0e87c1553e,TFCCTF{512000842_greymouth_01.09.2023_08:51_PM_242.2}
0.592,TRAWLERS,ZAANDAM,770576064,URY,montevideo,321.9,232.0,8.2,21.1,2023-09-06T00:06:00.000Z,2023-09-06T21:13:38.000Z,,,33cf26491-1bc6-148f-24c3-eca591a79cc2,TFCCTF{770576064_montevideo_06.09.2023_09:13_PM_321.9}
0.592,TRAWLERS,FALKUR,231031000,FRO,toftir,100.0,97.4,9.0,6.0,2023-09-03T21:35:01.000Z,2023-09-04T03:36:21.000Z,,,2878ed7b9-908a-4097-e2aa-26964ff8017e,TFCCTF{231031000_toftir_04.09.2023_03:36_AM_100.0}
0.592,TRAWLERS,ZHELINGYU23592,412416553,CHN,taizhou,293.4,181.7,9.1,17.3,2023-09-16T04:20:39.000Z,2023-09-16T21:39:59.000Z,,,19185df6b-bb35-c43e-9c48-c897c31a57f8,TFCCTF{412416553_taizhou_16.09.2023_09:39_PM_293.4}
0.59,TRAWLERS,ZHELINGYU69339,412418526,CHN,taizhou,294.0,175.4,9.6,16.6,2023-09-16T04:58:01.000Z,2023-09-16T21:32:41.000Z,,,acfdd41d0-0243-f016-8d0b-12fe1d80daa6,TFCCTF{412418526_taizhou_16.09.2023_09:32_PM_294.0}
0.59,TRAWLERS,ZHELINGYU23388,412417622,CHN,taizhou,236.8,151.0,8.9,14.4,2023-09-05T14:57:24.000Z,2023-09-06T05:20:52.000Z,,,085e0e9c5-5197-4947-ff14-edd05f18b9f8,TFCCTF{412417622_taizhou_06.09.2023_05:20_AM_236.8}
0.59,TRAWLERS,ZHELINGYU43117,412416051,CHN,taizhou,266.8,189.6,8.3,17.4,2023-09-16T04:43:08.000Z,2023-09-16T22:07:57.000Z,,,904e8d1b1-1678-731e-fc13-2bd28d6535af,TFCCTF{412416051_taizhou_16.09.2023_10:07_PM_266.8}
0.587,TUNA_PURSE_SEINES,NEW CANOE,554126120,,majuro,581.1,404.0,11.6,26.9,2023-09-07T23:59:32.000Z,2023-09-09T02:55:52.000Z,,,2adc3f760-0197-7a3a-913a-b7fc55183c8e,TFCCTF{554126120_majuro_09.09.2023_02:55_AM_581.1}
